Situation code,ACK  code,Situation code name,Situation Description,Text,Notes,RecordCode,Filename,Probability,SUBSET Code
,,,,Требуются более точные координаты.,,artillery1-4-2,artillery1-4-2.wav,50.0,
5,artillery1-5,ACK_DONT_SEE_THE_ENEMY,Боевая единица не видит цель и отказывается стрелять по ней.,"Цель вне зоны видимости, обстрел невозможен.",,artillery1-5-1,artillery1-5-1.wav,50.0,
,,,,"А…твою дивизию, спрятались, черти.","с ненавистью, сквозь зубы",artillery1-5-2,artillery1-5-2.wav,50.0,
6,artillery1-6,ACK_NOT_IN_ATTACK_ANGLE,Цель вне горизонталного сектора обстрела. Боевая цель не может повернуться в нужном направлении.,Да никак же! Нужно довернуть.,,artillery1-6-1,artillery1-6-1.wav,50.0,
,,,,Ну и как я туда повернусь? А?,,artillery1-6-2,artillery1-6-2.wav,50.0,
7,artillery1-7,ACK_NOT_IN_FIRE_RANGE,Цель слишком далеко или слишком близко. Боевая единица отказывается атаковать. ,Не стреля-я-ять! Не то расстояние!,,artillery1-7-1,artillery1-7-1.wav,50.0,
,,,,"Отставить огонь, дистанция неподходящая! ",,artillery1-7-2,artillery1-7-2.wav,50.0,
,,,,"Каждый снаряд на счету, а туда стрелять нельзя!",возмущенно,artillery1-7-3,artillery1-7-3.wav,50.0,
,,,,Надо сменить дистанцию. Тогда и жахнем!,,artillery1-7-4,artillery1-7-4.wav,50.0,
8,artillery1-8,ACK_NO_AMMO,Отказ атаковать - закончились боеприпасы. ,Стрелять нечем! Может…в рукопашную? А?!,задиристо,artillery1-8-1,artillery1-8-1.wav,50.0,
,,,,Стрелять уже нечем!,,artillery1-8-2,artillery1-8-2.wav,50.0,
,,,,Кончились боеприпасы! ,,artillery1-8-3,artillery1-8-3.wav,50.0,
,,,,Без снарядов только хлопушки стреляют…,,artillery1-8-4,artillery1-8-4.wav,50.0,
,,,,Эх сынки…что ж о снарядах-то не позаботились…,,artillery1-8-5,artillery1-8-5.wav,50.0,
,,,,Товарищ командир…без снарядов  нам крышка…,,artillery1-8-6,artillery1-8-6.wav,50.0,
9,artillery1-9,ACK_CANNOT_PIERCE,Боевая единица не может в принципе пробить защиту цели и отказывается стрелять так как это бесполезно. ,"Цель не будет повреждена! Черт, нужно что-то помощнее!",,artillery1-9-1,artillery1-9-1.wav,50.0,
,,,,Глазам своим не верю! Вот это броня!,,artillery1-9-2,artillery1-9-2.wav,50.0,
,,,,Тут сколько ни жахай - не пробьешь!,,artillery1-9-3,artillery1-9-3.wav,50.0,
10,artillery1-10,ACK_BORED_ATTACK,Периодичекие фразы во ходе атаки. ,За Родину! ,,artillery1-10-1,artillery1-10-1.wav,50.0,
,,,,Ловите подарочек!,,artillery1-10-2,artillery1-10-2.wav,50.0,
,,,,Заряжай! Огонь!,,artillery1-10-3,artillery1-10-3.wav,50.0,
,,,,У-у-у! гнида! Получай!,презрительно,artillery1-10-4,artillery1-10-4.wav,50.0,
12,artillery1-12,ACK_BORED_LOW_AMMO,У боевой единицы боеприпасы подходят к концу. ,Эх сынки! Снаряды экономим! За каждый выстрел - по одной сволочи!,,artillery1-12-1,artillery1-12-1.wav,50.0,
,,,,Снаряды кончаются! Долго мы так не продержимся!,,artillery1-12-2,artillery1-12-2.wav,50.0,
,,,,Забил снаряд я в пушку туго…оппа да они почти кончились!,"первую часть фразы говорит весело, задористо, а потом - озадаченно",artillery1-12-3,artillery1-12-3.wav,50.0,
13,artillery1-13,ACK_BORED_IDLE,Боевая единица ничем не занята и скучает. Нет действия в течение долгого времени. ,"Снаряды рвутся, пули свистят…Хорошо воюем!",,artillery1-13-1,artillery1-13-1.wav,50.0,
,,,,"Эх, хорошо отдохнуть!",Зычно,artillery1-13-2,artillery1-13-2.wav,50.0,
,,,,Пуля дура…Снаряд молодец!,,artillery1-13-3,artillery1-13-3.wav,50.0,
,,,,Дайте только время…постреляем и по Рейхстагу!,,artillery1-13-4,artillery1-13-4.wav,50.0,
14,artillery1-14,ACK_BORED_LOW_HIT_POINTS,Убоевой единицы осталось мало здоровья или прочности. ,"А..ть твою дивизию…чую, плохо нам…",,artillery1-14-1,artillery1-14-1.wav,50.0,
,,,,Это совсем не дело…Нас так прихлопнут...,,artillery1-14-2,artillery1-14-2.wav,50.0,
,,,,Сынок…худо нам скоро будет.,,artillery1-14-3,artillery1-14-3.wav,50.0,
15,artillery1-15,ACK_SELECTION_TO_MUCH,Боевая единица была многократно выбрана подряд. ,"Да, да! Уже жду приказа!",с готовностью и нетерпением ( выполнить),artillery1-15-1,artillery1-15-1.wav,50.0,
,,,,"Да, нам не надо приказывать дважды…и трижды тоже, мы все выполняем сразу!",четко  по солдафонски,artillery1-15-2,artillery1-15-2.wav,50.0,
,,,,"Я, конечно, глуховат…Кх-кх-кх, но все же слышу приказы!",обиженно,artillery1-15-3,artillery1-15-3.wav,50.0,
16,artillery1-16,ACK_KILLED_ENEMY,Боевая единица уничожила врага. ,"А, три пятнадцать…как мы ему вдарили!",довольно,artillery1-16-1,artillery1-16-1.wav,50.0,
,,,,Цель полностью уничтожена!,,artillery1-16-2,artillery1-16-2.wav,50.0,
,,,,Орлы! Еще одна вражина получила по заслугам!,обращаясь к расчету,artillery1-16-3,artillery1-16-3.wav,50.0,
,,,,Приказ выполнен! Враг уничтожен!,,artillery1-16-4,artillery1-16-4.wav,50.0,
,,,,Для этих гадов - ничего не жалко!,издевательски,artillery1-16-5,artillery1-16-5.wav,50.0,
17,artillery1-17,ACK_BUILDING_FINISHED,Боевая единица закончила окапывание или закончила строительные работы,Окопаться-то - всяко веселее будет!,,artillery1-17-1,artillery1-17-1.wav,50.0,
,,,,Вот так-то! Пусть попробуют нас отсюда выбить!,,artillery1-17-2,artillery1-17-2.wav,50.0,
18,artillery1-18,DIED,Боевая единица погибла. Последние слова. ,Аааааа….(затихающий крик),,artillery1-18-1,artillery1-18-1.wav,50.0,
,,,,А!!! Ну вот…постреляли…хех,,artillery1-18-2,artillery1-18-2.wav,50.0,
,,,,За что?,,artillery1-18-3,artillery1-18-3.wav,50.0,
,,,,Отлично постреляли. Кхе-кхе.,улыбается перед смертью,artillery1-18-4,artillery1-18-4.wav,50.0,
,,,,Оу…..,,artillery1-18-5,artillery1-18-5.wav,50.0,
,,,,(крик),,artillery1-18-6,artillery1-18-6.wav,50.0,
,,,,(крик),,artillery1-18-7,artillery1-18-7.wav,50.0,
,,,,(крик),,artillery1-18-8,artillery1-18-8.wav,50.0,
,,,,(крик),,artillery1-18-9,artillery1-18-9.wav,50.0,
,,,,(крик),,artillery1-18-10,artillery1-18-10.wav,50.0,
20,artillery1-20,ACK_UNDER_ATTACK,Боевая единица подверглась нападению. ,Мы атакованы!,,artillery1-20-1,artillery1-20-1.wav,50.0,
,,,,Враги атакуют!,,artillery1-20-2,artillery1-20-2.wav,50.0,
,,,,"Ну, гады, получите сейчас.",,artillery1-20-3,artillery1-20-3.wav,50.0,
21,artillery1-21,ACK_ENEMY_FOUND,Боевая единица обнаружила врага,Внимание! Вижу врага!,,artillery1-21-1,artillery1-21-1.wav,50.0,
,,,,"А! вот они, голубчики!",,artillery1-21-2,artillery1-21-2.wav,50.0,
22,artillery1-22,ACK_ORDER_FINISHED,Боевая единица закончила выполнение приказа,И готово!...Приказ выполнен! Хех,,artillery1-22-1,artillery1-22-1.wav,50.0,
,,,,Ать два…все готово!,,artillery1-22-2,artillery1-22-2.wav,50.0,
23,artillery1-23,ACK_REINFORCEMENT_ARRIVED,Боевая единица докладывает о прибытии в составе подкрепления,Подкрепления прибыли!,,artillery1-23-1,artillery1-23-1.wav,50.0,
,,,,Здесь нужна артиллерия? Понимаю!,лукаво,artillery1-23-2,artillery1-23-2.wav,50.0,
32,artillery1-33,ACK_BEING_ATTACKED_BY_AVIATION,Боевая единица заметила вражеские самолеты,"Летит, сволочь!",,artillery1-33-1,artillery1-33-1.wav,50.0,
,,,,Летите летите…летуны проклятые,,artillery1-33-2,artillery1-33-2.wav,50.0,
1,artillery2-1,ACK_POSITIVE,Согласие. Боевая единица подчиняется некоторому приказу.,"Так точно, приказ понятен!",,artillery2-1-1,artillery2-1-1.wav,50.0,
,,,,"Есть, я слушаю!",,artillery2-1-2,artillery2-1-2.wav,50.0,
,,,,"Есть, товарищ командир!",скороговоркой и энтузиазмом,artillery2-1-3,artillery2-1-3.wav,50.0,
,,,,"Есть, товарищ командир! Во имя победы-ы-ы-ы!",кричит,artillery2-1-4,artillery2-1-4.wav,5.0,
,,,,Сделаем!,,artillery2-1-5,artillery2-1-5.wav,50.0,
,,,,Я справлюсь! Есть!,,artillery2-1-6,artillery2-1-6.wav,50.0,
,,,,Артиллеристы выполнят приказ!,,artillery2-1-7,artillery2-1-7.wav,50.0,
2,artillery2-2,ACK_NEGATIVE,Несогласие. Боевая единица не может выполнить некоторый приказ.,"Э-э..это невозможно, товарищ командир!","немного колеблясь, но слова ""товарищ командир"" - быстро чеканит.",artillery2-2-1,artillery2-2-1.wav,50.0,
,,,,"Расстреляйте меня, но это невозможно выполнить.",,artillery2-2-2,artillery2-2-2.wav,50.0,
,,,,Приказ не может быть выполнен!,,artillery2-2-3,artillery2-2-3.wav,50.0,
,,,,Я... я не могу выполнить приказ…,расстроено,artillery2-2-4,artillery2-2-4.wav,50.0,
3,artillery2-3,ACK_SELECTED,Реакция боевой единицы на выбор ее игроком.,Артиллерия на связи!,,artillery2-3-1,artillery2-3-1.wav,50.0,
,,,,Заряжай и стреляй!,,artillery2-3-2,artillery2-3-2.wav,50.0,
,,,,Орудие готово!,,artillery2-3-3,artillery2-3-3.wav,50.0,
,,,,Артиллеристы не подведут!,,artillery2-3-4,artillery2-3-4.wav,50.0,
,,,,Да! Артиллерия!,,artillery2-3-5,artillery2-3-5.wav,50.0,
,,,,Наши пушки всегда готовы нанести сокрушительнвй удар!,,artillery2-3-6,artillery2-3-6.wav,5.0,
,,,,Зададим им взбучку!,,artillery2-3-7,artillery2-3-7.wav,50.0,
,,,,"Слушаю, товарищ командир!",,artillery2-3-8,artillery2-3-8.wav,50.0,
,,,,Кхм-кхм…,,artillery2-3-9,artillery2-3-9.wav,50.0,
4,artillery2-4,ACK_INVALID_TARGET,"Боевая единица не может навестись на некоторую цель, по причинам не указазанным в остальных фразах. ",Товарищ командир…мы никак не сможем навестись.,,artillery2-4-1,artillery2-4-1.wav,50.0,
,,,,Никак невозможно.,,artillery2-4-2,artillery2-4-2.wav,50.0,
5,artillery2-5,ACK_DONT_SEE_THE_ENEMY,Боевая единица не видит цель и отказывается стрелять по ней.,Дайте мне бинокль…я их не вижу,,artillery2-5-1,artillery2-5-1.wav,50.0,
,,,,Где же эти сволочи? Не видно!,,artillery2-5-2,artillery2-5-2.wav,50.0,
6,artillery2-6,ACK_NOT_IN_ATTACK_ANGLE,Цель вне горизонталного сектора обстрела. Боевая цель не может повернуться в нужном направлении.,Поворота орудия недостаточно для поражения цели.,,artillery2-6-1,artillery2-6-1.wav,50.0,
,,,,"Я считаю, требуется поворот орудия.",,artillery2-6-2,artillery2-6-2.wav,50.0,
7,artillery2-7,ACK_NOT_IN_FIRE_RANGE,Цель слишком далеко или слишком близко. Боевая единица отказывается атаковать. ,Куда смотрят наводчики? На такой дистанции стрелять нельзя!,,artillery2-7-1,artillery2-7-1.wav,50.0,
,,,,Боюсь…на таком расстоянии мы не сможем попасть.,,artillery2-7-2,artillery2-7-2.wav,50.0,
,,,,Расчет растояния неверный!,,artillery2-7-3,artillery2-7-3.wav,50.0,
,,,,"Отставить огонь, проверить дистанцию!",,artillery2-7-4,artillery2-7-4.wav,50.0,
8,artillery2-8,ACK_NO_AMMO,Отказ атаковать - закончились боеприпасы. ,Мы расстреляли весь боекомплект!,,artillery2-8-1,artillery2-8-1.wav,50.0,
,,,,"Товарищ командир, нужны боеприпасы.",,artillery2-8-2,artillery2-8-2.wav,50.0,
,,,,Стрелять нечем…товарищ командир.,сокрушенно и обреченно,artillery2-8-3,artillery2-8-3.wav,50.0,
,,,,Где же снаряды? Боеприпасы!,"нервно, чуть истерично",artillery2-8-4,artillery2-8-4.wav,50.0,
,,,,У нас все кончилось! ,,artillery2-8-5,artillery2-8-5.wav,50.0,
,,,,Нужны снаряд! Срочно!,,artillery2-8-6,artillery2-8-6.wav,50.0,
9,artillery2-9,ACK_CANNOT_PIERCE,Боевая единица не может в принципе пробить защиту цели и отказывается стрелять так как это бесполезно. ,"Товарищ командир, предлагаю калибр побольше!",,artillery2-9-1,artillery2-9-1.wav,50.0,
,,,,Глазам своим не верю!,,artillery2-9-2,artillery2-9-2.wav,50.0,
,,,,"Вот гнида! Ну ничего, я тебя достану!",,artillery2-9-3,artillery2-9-3.wav,50.0,
10,artillery2-10,ACK_BORED_ATTACK,Периодичекие фразы во ходе атаки. ,"Хорошая работа, наводчик!",,artillery2-10-1,artillery2-10-1.wav,50.0,
,,,,Огонь!,,artillery2-10-2,artillery2-10-2.wav,50.0,
,,,,Залпом! Залпом по ним!,,artillery2-10-3,artillery2-10-3.wav,50.0,
,,,,Заряжа-а-ай!,,artillery2-10-4,artillery2-10-4.wav,50.0,
12,artillery2-12,ACK_BORED_LOW_AMMO,У боевой единицы боеприпасы подходят к концу. ,Внимание! Боеприпасы на исходе!,,artillery2-12-1,artillery2-12-1.wav,50.0,
,,,,Каждый снаряд на счету…осталось мало…,обеспокоенно,artillery2-12-2,artillery2-12-2.wav,50.0,
,,,,Мало…так мало осталось снарядов…,сокрушенно,artillery2-12-3,artillery2-12-3.wav,50.0,
13,artillery2-13,ACK_BORED_IDLE,Боевая единица ничем не занята и скучает. Нет действия в течение долгого времени. ,"Вставай, страна огромная…(напевает)",,artillery2-13-1,artillery2-13-1.wav,50.0,
,,,,Кхм-кхм…нужно же действовать!,,artillery2-13-2,artillery2-13-2.wav,50.0,
,,,,"Пока мы здесь баклуши бьем, вокруг война кипит!",,artillery2-13-3,artillery2-13-3.wav,50.0,
,,,,Командир! Люди рвутся в бой! Отдайте приказ.,,artillery2-13-4,artillery2-13-4.wav,50.0,
14,artillery2-14,ACK_BORED_LOW_HIT_POINTS,Убоевой единицы осталось мало здоровья или прочности. ,Повреждения серьезные…товарищ командир,,artillery2-14-1,artillery2-14-1.wav,50.0,
,,,  ,Если я умру - сообщите родным…,,artillery2-14-2,artillery2-14-2.wav,50.0,
,,,  ,Я буду биться до конца…,,artillery2-14-3,artillery2-14-3.wav,50.0,
15,artillery2-15,ACK_SELECTION_TO_MUCH,Боевая единица была многократно выбрана подряд. ,Да в условиях военного времени за это можно….,с угрозой,artillery2-15-1,artillery2-15-1.wav,50.0,
,,,  ,Т..товарищ командир..я что-то не понял приказа.,,artillery2-15-2,artillery2-15-2.wav,50.0,
,,,  ,"Товарищ командир, я уже давно готов.",с раздражением,artillery2-15-3,artillery2-15-3.wav,50.0,
16,artillery2-16,ACK_KILLED_ENEMY,Боевая единица уничожила врага. ,Ура-а-а!!! Цель поражена! ,,artillery2-16-1,artillery2-16-1.wav,50.0,
,,,  ,Чтоб меня разорвало! Попали!,,artillery2-16-2,artillery2-16-2.wav,50.0,
,,,  ,Вот так и куется победа,,artillery2-16-3,artillery2-16-3.wav,50.0,
,,,  ,Мы их уничтожили! Жду новую цель.,,artillery2-16-4,artillery2-16-4.wav,50.0,
,,,  ,Точно в яблочко!,,artillery2-16-5,artillery2-16-5.wav,50.0,
17,artillery2-17,ACK_BUILDING_FINISHED,Боевая единица закончила окапывание или закончила строительные работы,Окапывание завершено.,,artillery2-17-1,artillery2-17-1.wav,50.0,
,,,  ,Теперь им нас не достать!,,artillery2-17-2,artillery2-17-2.wav,50.0,
18,artillery2-18,DIED,Боевая единица погибла. Последние слова. ,Прощайте…друзья…,,artillery2-18-1,artillery2-18-1.wav,50.0,
,,,  ,Я умираю за родину…,,artillery2-18-2,artillery2-18-2.wav,50.0,
,,,  ,А-а-а-а-а!!!,,artillery2-18-3,artillery2-18-3.wav,50.0,
,,,  ,Аарррррррр,,artillery2-18-4,artillery2-18-4.wav,50.0,
,,,  ,М.м.мммм,,artillery2-18-5,artillery2-18-5.wav,50.0,
,,,,(крик),,artillery2-18-6,artillery2-18-6.wav,50.0,
,,,,(крик),,artillery2-18-7,artillery2-18-7.wav,50.0,
,,,,(крик),,artillery2-18-8,artillery2-18-8.wav,50.0,
,,,,(крик),,artillery2-18-9,artillery2-18-9.wav,50.0,
,,,,(крик),,artillery2-18-10,artillery2-18-10.wav,50.0,
20,artillery2-20,ACK_UNDER_ATTACK,Боевая единица подверглась нападению. ,Они пошли в атаку!,,artillery2-20-1,artillery2-20-1.wav,50.0,
,,,  ,Мы в зоне обстрела! Всем в укрытие!,,artillery2-20-2,artillery2-20-2.wav,50.0,
,,,  ,По нам стреляют!,,artillery2-20-3,artillery2-20-3.wav,50.0,
21,artillery2-21,ACK_ENEMY_FOUND,Боевая единица обнаружила врага,Визуальный контакт с противником.!,,artillery2-21-1,artillery2-21-1.wav,50.0,
,,,  ,Вижу противника!,,artillery2-21-2,artillery2-21-2.wav,50.0,
22,artillery2-22,ACK_ORDER_FINISHED,Боевая единица закончила выполнение приказа,"Есть, приказ выполнен!",,artillery2-22-1,artillery2-22-1.wav,50.0,
,,,  ,Выполнено.,,artillery2-22-2,artillery2-22-2.wav,50.0,
23,artillery2-23,ACK_REINFORCEMENT_ARRIVED,Боевая единица докладывает о прибытии в составе подкрепления,Товарищ командир… прибыли под ваше командование.,,artillery2-23-1,artillery2-23-1.wav,50.0,
,,,  ,Мы - ваше подкрепление.,,artillery2-23-2,artillery2-23-2.wav,50.0,
32,artillery2-33,ACK_BEING_ATTACKED_BY_AVIATION,Боевая единица заметила вражеские самолеты,Приготовиться к авиаудару!,,artillery2-33-1,artillery2-33-1.wav,50.0,
,,,  ,Воздух!,,artillery2-33-2,artillery2-33-2.wav,50.0,
1,artillery3-1,ACK_POSITIVE,Согласие. Боевая единица подчиняется некоторому приказу.,"Есть, расчет слушает!",,artillery3-1-1,artillery3-1-1.wav,50.0,
,,,  ,Нам не привыкать!,,artillery3-1-2,artillery3-1-2.wav,50.0,
,,,  ,Конечно! Да!,,artillery3-1-3,artillery3-1-3.wav,50.0,
,,,  ,За Родину! За Сталина! Сделаем…,Утвердительно. Спокойно…,artillery3-1-4,artillery3-1-4.wav,50.0,
,,,  ,Готов!,,artillery3-1-5,artillery3-1-5.wav,50.0,
,,,  ,Будет сделано! Что?,,artillery3-1-6,artillery3-1-6.wav,50.0,
,,,  ,С удовольствием!,,artillery3-1-7,artillery3-1-7.wav,50.0,
2,artillery3-2,ACK_NEGATIVE,Несогласие. Боевая единица не может выполнить некоторый приказ.,Никак нет! ,,artillery3-2-1,artillery3-2-1.wav,50.0,
,,,  ,Приказ невозможно выполнить!,,artillery3-2-2,artillery3-2-2.wav,50.0,
,,,  ,Лопни мои перепонки! Это невозможно!,,artillery3-2-3,artillery3-2-3.wav,50.0,
,,,  ,"А? Что? Нет, товарищ командир!",,artillery3-2-4,artillery3-2-4.wav,50.0,
3,artillery3-3,ACK_SELECTED,Реакция боевой единицы на выбор ее игроком.,Аааартиллерияяяя!,,artillery3-3-1,artillery3-3-1.wav,50.0,
,,,  ,Мы готовы!,,artillery3-3-2,artillery3-3-2.wav,50.0,
,,,  ,Куда наводиться?,,artillery3-3-3,artillery3-3-3.wav,50.0,
,,,  ,Ждем приказа!,,artillery3-3-4,artillery3-3-4.wav,50.0,
,,,  ,Дайте мне цель посложнее!,,artillery3-3-5,artillery3-3-5.wav,50.0,
,,,  ,А? Что? Слушаю!,встрепенувшись…взволнованно,artillery3-3-6,artillery3-3-6.wav,50.0,
,,,  ,"Я слушаю, товарищ командир!",орет.,artillery3-3-7,artillery3-3-7.wav,50.0,
,,,  ,"Только покажите - что, а мы уж разнесем это в клочья!",,artillery3-3-8,artillery3-3-8.wav,50.0,
,,,  ,А? Что? Да!,,artillery3-3-9,artillery3-3-9.wav,50.0,
4,artillery3-4,ACK_INVALID_TARGET,"Боевая единица не может навестись на некоторую цель, по причинам не указазанным в остальных фразах. ",Ничего не понимаю. Куда стрелять?,,artillery3-4-1,artillery3-4-1.wav,50.0,
,,,  ,Командир…цель недоступна.,,artillery3-4-2,artillery3-4-2.wav,50.0,
5,artillery3-5,ACK_DONT_SEE_THE_ENEMY,Боевая единица не видит цель и отказывается стрелять по ней.,Цель не вижу-стрелять не могу.,Тупо. По военному.,artillery3-5-1,artillery3-5-1.wav,50.0,
,,,  ,Не вижу! Где цель?,,artillery3-5-2,artillery3-5-2.wav,50.0,
6,artillery3-6,ACK_NOT_IN_ATTACK_ANGLE,Цель вне горизонталного сектора обстрела. Боевая цель не может повернуться в нужном направлении.,Они вне зоны поражения!!!,,artillery3-6-1,artillery3-6-1.wav,50.0,
,,,  ,Может…попробуем занять другую позицию?,,artillery3-6-2,artillery3-6-2.wav,50.0,
7,artillery3-7,ACK_NOT_IN_FIRE_RANGE,Цель слишком далеко или слишком близко. Боевая единица отказывается атаковать. ,Мы же не попадем! Расстояние не то что надо!,,artillery3-7-1,artillery3-7-1.wav,50.0,
,,,  ,Я не хочу попусту тратить снаряды! Нужно менять дистанцию!,,artillery3-7-2,artillery3-7-2.wav,50.0,
,,,  ,"Да не та дистанция, я говорю!",,artillery3-7-3,artillery3-7-3.wav,50.0,
,,,  ,На таком расстоянии стрелять бесполезно.,,artillery3-7-4,artillery3-7-4.wav,50.0,
8,artillery3-8,ACK_NO_AMMO,Отказ атаковать - закончились боеприпасы. ,Подайте снаряды!,,artillery3-8-1,artillery3-8-1.wav,50.0,
,,,  ,Где ящики с боеприпасами? Мы на нуле!,,artillery3-8-2,artillery3-8-2.wav,50.0,
,,,  ,"Как стрелять-то? Я бы и выстрелил, да нечем!",с вызовом!,artillery3-8-3,artillery3-8-3.wav,50.0,
,,,  ,Ну и как нам дальше быть? Стрелять нечем!,,artillery3-8-4,artillery3-8-4.wav,50.0,
,,,  ,"Докладываю: боеприпасы кончились, готовы к рукопашной.",,artillery3-8-5,artillery3-8-5.wav,50.0,
,,,  ,Подсобите с боеприпасами!!!!,отчаянно,artillery3-8-6,artillery3-8-6.wav,50.0,
9,artillery3-9,ACK_CANNOT_PIERCE,Боевая единица не может в принципе пробить защиту цели и отказывается стрелять так как это бесполезно. ,По такой броне можно и не стрелять!,,artillery3-9-1,artillery3-9-1.wav,50.0,
,,,  ,"Давайте пальнем залпом, а то не пробьем!",,artillery3-9-2,artillery3-9-2.wav,50.0,
,,,  ,Вот гады! Какая же там броня!,,artillery3-9-3,artillery3-9-3.wav,50.0,
10,artillery3-10,ACK_BORED_ATTACK,Периодичекие фразы во ходе атаки. ,Целься… ,,artillery3-10-1,artillery3-10-1.wav,50.0,
,,,  ,Нужно добить их всех! Огоооонь!,,artillery3-10-2,artillery3-10-2.wav,50.0,
,,,  ,Не щадите их! ,,artillery3-10-3,artillery3-10-3.wav,50.0,
,,,  ,Бей оккупантов!,,artillery3-10-4,artillery3-10-4.wav,50.0,
11,artillery3-11,ACK_CANNOT_MOVE_TRACK_DAMAGED,"Колесо или гусеница повреждены, боевая единица отказывается двигаться или атаковать. ",Мы не можем передвигаться! Нужен срочный ремонт,,artillery3-11-1,artillery3-11-1.wav,50.0,
,,,  ,Ходовая часть повреждена!,,artillery3-11-2,artillery3-11-2.wav,50.0,
,,,  ,Мы не можем сдвинуться! Прошу помощи ремонтников!,,artillery3-11-3,artillery3-11-3.wav,50.0,
12,artillery3-12,ACK_BORED_LOW_AMMO,У боевой единицы боеприпасы подходят к концу. ,Да тут всего-то снарядов осталось! ,,artillery3-12-1,artillery3-12-1.wav,50.0,
,,,  ,"Черт, кончаются снаряды!",,artillery3-12-2,artillery3-12-2.wav,50.0,
,,,  ,Еще несколько выстрелов - и снарядов не будет.,панически,artillery3-12-3,artillery3-12-3.wav,50.0,
13,artillery3-13,ACK_BORED_IDLE,Боевая единица ничем не занята и скучает. Нет действия в течение долгого времени. ,М.м.м пороховой дым! Аромат войны!,,artillery3-13-1,artillery3-13-1.wav,50.0,
,,,  ,"Уже две контузии, но я еще ого-го!",,artillery3-13-2,artillery3-13-2.wav,50.0,
,,,  ,Зря всю эту войну затеяли...,,artillery3-13-3,artillery3-13-3.wav,50.0,
,,,  ,"Наши жееены - пушки заряжееены, вот кто наши жены!",тихо поет сиплым-сиплым голосом.,artillery3-13-4,artillery3-13-4.wav,50.0,
14,artillery3-14,ACK_BORED_LOW_HIT_POINTS,Убоевой единицы осталось мало здоровья или прочности. ,Старому вояке все нипочем…но надолго меня не хватит.,с трудом выговаривает слова…сильные ранения.,artillery3-14-1,artillery3-14-1.wav,50.0,
,,,  ,А!!! Осталось недолго…,,artillery3-14-2,artillery3-14-2.wav,50.0,
,,,  ,Слишком много повреждений!,,artillery3-14-3,artillery3-14-3.wav,50.0,
15,artillery3-15,ACK_SELECTION_TO_MUCH,Боевая единица была многократно выбрана подряд. ,Я уже здеееесь! Давнооо!,кричит,artillery3-15-1,artillery3-15-1.wav,50.0,
,,,  ,Уже даже я услышал!,,artillery3-15-2,artillery3-15-2.wav,50.0,
,,,  ,Помню однажды меня ударило затвором…кхе. По голове… С тех пор слышу плохо.,,artillery3-15-3,artillery3-15-3.wav,50.0,
16,artillery3-16,ACK_KILLED_ENEMY,Боевая единица уничожила врага. ,Да! Наконец то!!! Получай! ,,artillery3-16-1,artillery3-16-1.wav,50.0,
